interaction_id,customer_id,advisor_id,interaction_type,interaction_date,sentiment,notes
1,795,7,Video Conference,2022-11-06 00:00:00,Positive,Client appreciated the portfolio review and agreed with the proposed allocation changes.
2,408,24,Meeting,2022-11-18 00:00:00,Positive,Meeting went well; client approved the recommended diversification plan.
3,837,50,Meeting,2025-07-16 00:00:00,Negative,Discussion reflected dissatisfaction with short-term performance; follow-up has been scheduled.
4,143,28,Meeting,2021-10-17 00:00:00,Positive,Meeting went well; client approved the recommended diversification plan.
5,447,30,Email,2025-02-04 00:00:00,Neutral,Interaction focused on regular portfolio maintenance with no urgent actions identified.
6,258,8,Email,2025-08-02 00:00:00,Positive,Positive discussion on long-term goals; client is comfortable with the current strategy.
7,633,1,Call,2023-01-22 00:00:00,Negative,Discussion reflected dissatisfaction with short-term performance; follow-up has been scheduled.
8,558,11,Video Conference,2023-01-31 00:00:00,Positive,Meeting went well; client approved the recommended diversification plan.
9,350,43,Call,2025-04-26 00:00:00,Positive,Client appreciated the portfolio review and agreed with the proposed allocation changes.
10,825,27,Video Conference,2022-12-19 00:00:00,Neutral,Interaction focused on regular portfolio maintenance with no urgent actions identified.
11,865,5,Call,2026-03-02 00:00:00,Positive,Meeting went well; client approved the recommended diversification plan.
12,781,46,Video Conference,2026-04-08 00:00:00,Neutral,Interaction focused on regular portfolio maintenance with no urgent actions identified.
13,556,27,Call,2026-04-10 00:00:00,Positive,Constructive conversation with strong engagement; client requested additional retirement scenarios.
14,859,44,Meeting,2023-03-11 00:00:00,Negative,Client requested clarification on fees and portfolio positioning after recent market movements.
15,343,48,Video Conference,2022-08-01 00:00:00,Positive,Client expressed satisfaction with recent performance and welcomed follow-up next quarter.
16,684,11,Email,2021-03-09 00:00:00,Negative,Client requested clarification on fees and portfolio positioning after recent market movements.
17,603,21,Call,2025-06-19 00:00:00,Positive,Constructive conversation with strong engagement; client requested additional retirement scenarios.
18,211,24,Email,2024-11-07 00:00:00,Positive,Client expressed satisfaction with recent performance and welcomed follow-up next quarter.
19,292,2,Email,2024-05-17 00:00:00,Neutral,Provided account update and answered standard questions on holdings and recent activity.
20,170,5,Meeting,2024-12-27 00:00:00,Positive,Client appreciated the portfolio review and agreed with the proposed allocation changes.
21,310,44,Call,2024-02-27 00:00:00,Neutral,General discussion on market conditions; client prefers to maintain the current plan for now.
22,715,32,Meeting,2021-07-31 00:00:00,Negative,Discussion reflected dissatisfaction with short-term performance; follow-up has been scheduled.
23,518,17,Email,2025-04-19 00:00:00,Positive,Positive discussion on long-term goals; client is comfortable with the current strategy.
